Distributing Body,Good Cause,Recipient Name,Project Name,Grant Date,Grant Amount,Programme Name,County,Postal Town,Local Authority,Electoral Ward,Region,UK Constituency,EU Constituency
New Opportunities Fund,"Health, Education, Environment",Envolve Partnerships For Sustainability,"Barnardo-+s and the Children-+s Play Council work in partnership to deliver Better Play, a -̼10.8 million England-wide grant programme for distinctive and innovative children's play projects. The project will provide exciting quality play opportunities for c",05/03/2004,35000,,,Bath,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Eshoda Arts,The Home Ideal Show,02/03/2004,5000,GrantsforOrganisations,,Bath,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Assembly Projects,Assembly - International Visual Arts Festival,02/03/2004,52000,GrantsforOrganisations,,Bath,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Holburne Museum Of Art,Contemporary Portrait Prize Exhibition,23/01/2004,3342,GrantsforOrganisations,,Bath,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Baths Festivals Trust,Bath International Music Festival Commissions,23/01/2004,5000,GrantsforOrganisations,,Bath,Bath and North East Somerset,,South West,Bath,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Castle Primary School,"An Introduction For Pre School Children To Gymnastics Will Be Offered  In The Spring, To Improve Spatial Awareness And Improve Body Co-Ordination In The Children.",15/01/2004,3636,AwardsforAll,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Newbridge Community Rowing Facilities Limited,Specifically Designed Equipment Will Enable Disabled People To Participate In The Sport Of Rowing.,15/01/2004,4943,AwardsforAll,,Radstock,Bath and North East Somerset,,South West,North East Somerset,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Oldfield Park Baptist Pre-School,Computer Equipment Will Be Bought With The Award.,15/01/2004,1130,AwardsforAll,,Bath,Bath and North East Somerset,,South West,Bath,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Avon County Rowing Club,Teenagers And Mothers Will Be Encouraged To Take Part In Rowing As Part Of A New Project For The Club.,15/01/2004,4967,AwardsforAll,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Bath Rugby Community Development Scheme,The Award Will Be Used To Develop A Rugby Coaching Programme For Young People.,15/01/2004,4332,AwardsforAll,,Bath,Bath and North East Somerset,,South West,Bath,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Developing Health and Independence,The group will have it's website translated into four ethnic community languages including Urdu and Punjabi to extend access to service users from different ethnicities.,15/01/2004,4640,Awards for All,,Bath,Bath and North East Somerset,,South West,Bath,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,The Community Bus,A Hydraulic Lift Will Be Installed On The Group'S Community Activity Bus To Enable Access For Disabled People Including Those In Wheelchairs.,15/01/2004,4935,AwardsforAll,,Radstock,Bath and North East Somerset,,South West,North East Somerset,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Norton Hill School,"A Community Heritage Project And Accompanying Roadshow , Co-Ordinated By Year 13 Students, Will Be Paid For With The Award.",05/12/2003,4480,AwardsforAll,,Radstock,Bath and North East Somerset,,South West,North East Somerset,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Black Families Education Support Group,Black And Minority Ethnic Young People Aged 12-16  In Banes Will Be Given The Opportunity To Attend Holiday Learning Programmes In The Media Arts.,05/12/2003,4995,AwardsforAll,,Bath,Bath and North East Somerset,,South West,Bath,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Lime Grove School,This Special School Will Provide New Arts And Sports Activities For  Young Disabled People With This Award.,05/12/2003,4500,AwardsforAll,,Bath,Bath and North East Somerset,,South West,Bath,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Streats Ltd,Theatre Workshops Will Be Held For Young People In Street Arts Performance.,05/12/2003,4400,AwardsforAll,,Bath,Bath and North East Somerset,,South West,Bath,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Avon Ladies Rugby Football Club,An Under 18'S Girls Rugby Team Will Be Developed With New Training And Competitive Opportunities Not Currently Available In B&Nes.,07/11/2003,1975,AwardsforAll,,Bath,Bath and North East Somerset,,South West,Bath,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Batch Community Theatre,"The Group Will Run Community Theatre Workshops, Costume And Lighting Design Courses And Music Composition For Local People, Whose New Skills Will Be Brought Together To Create A Public Performance.",07/11/2003,5000,AwardsforAll,,Radstock,Bath and North East Somerset,,South West,North East Somerset,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Merriman Theatre Group,A Portable Digital Piano Will Enable The Group To Be More Flexible About Performance And Rehearsals.,07/11/2003,3268,AwardsforAll,,Radstock,Bath and North East Somerset,,South West,North East Somerset,South West
New Opportunities Fund,"Health, Education, Environment",Envolve,A popular local food directory is to be expanded to include a food project in a local deprived area.,28/10/2003,4999,,,Bath,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Festivals Opera & Music Theatre Consorti,1st UK production of Piazzolla's 'Maria of Buenos Aires',21/10/2003,75000,GrantsforNationalTouring,,Bath,Bath and North East Somerset,,South West,Bath,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Timsbury Youth Club,"This Youth Club Will Use Their Award To Run A 'Computer Confidence'  Course For Local Young And Older People. Development Of Course -̼250, It Trainer (40 Weeks) -̼2400, Digital Projector And Installation -̼2000, Black Out Curtains -̼240, Publicity Leaflets -̼1",03/10/2003,4990,AwardsforAll,,Bath,Bath and North East Somerset,,South West,North East Somerset,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,21st Bath Scout Group,"Disabled Access Will Be Improved At The Hall, And Equipment Bought Which Will Be Used By The Scouts And Other Hall Users.",03/10/2003,4950,AwardsforAll,,Bath,Bath and North East Somerset,,South West,Bath,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Radstock  Midsomer Norton and District Museum Society,A Research Project And Exhibition On The History Of Methodism In Coleford Will Incorporate The Conservation Of The Coleford Clock.,03/10/2003,4950,AwardsforAll,,Radstock,Bath and North East Somerset,,South West,North East Somerset,South West
Arts Council England,Arts,"Art Team, The",Working with Artists Two Day Course in Creativity,30/09/2003,4500,GrantsforOrganisations,,Bath,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Natural Theatre Company,TMA Essentials of Marketing Course,18/09/2003,473,GrantsforOrganisations,,Bath,Bath and North East Somerset,,South West,Bath,South West
Community Fund,Charitable Expenditure,The Research Institute for the Care of the Elderly,"The Research Institute For The Care Of The Elderly (Rice) Conducts Clinical Research Into Conditions That Effect The Elderly.  In Particular, Dementia, Alzheimers And Parkinsons Diseases.  In Addition To Piloting New Methods Of Treatment, Rice Runs Course",12/09/2003,400000,,,Bath,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,International Guitar Foundation & Fest.,Set-up of new office and organisation website,12/09/2003,5000,GrantsforOrganisations,,Bath,Bath and North East Somerset,,South West,North East Somerset,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Bath Primary Schools Football Association,The Association Will Increase Opportunties For Young Children To Get  Fa  Standard Coaching And Practise In Schools Which Do Not Offer Such Opportunities At Present.,09/09/2003,1728,AwardsforAll,,Bath,Bath and North East Somerset,,South West,Bath,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Keynsham Judo School,The Group Will Expand To Open On 3 Evenings A Week ( Presently Open On One Evening) To Accommodate The Increasing Numbers Who Want To Take Part.,09/09/2003,4900,AwardsforAll,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Stanton Prior Village Day Committee,The Group Will Produce A 'Domesday Update' Of The Village. Typesetting And Printing -̼2886,09/09/2003,2886,AwardsforAll,,Bath,Bath and North East Somerset,,South West,North East Somerset,South West
Heritage Lottery Fund,Heritage,Holburne Museum,Holburne Museum Development Plan,08/09/2003,42000,,,Bath,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Victoria Art Gallery,Reclaiming the Everyday & others,05/09/2003,600,GrantsforOrganisations,,Bath,Bath and North East Somerset,,South West,Bath,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Lewsey Centre Swimming Club,Swimming Development Project Aimed At Attracting People From Novice To Proficient Swimmers Not Previously Involved In Swimming In A Competitive Club Sense.  Capacity Building Training For Staff And Volunteers To Enable The Club To Provide For More People,04/08/2003,5000,AwardsforAll,,Hitchin,Bath and North East Somerset,,South West,North East Somerset,South West
Sport England,Sport,English Karate Governing Body,Karate: Performance,23/07/2003,152104,WorldClassProgramme,,Bath,Bath and North East Somerset,,South West,Bath,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Include to Inform,"More Disabled People Will Receive Support With Improved Access To Information, Meetings And Training.",15/07/2003,4850,AwardsforAll,,Radstock,Bath and North East Somerset,,South West,North East Somerset,South West
